Current MS Compounds,ESI Mode,HMDB ID,KEGG ID,Molecular Formula,CAS,Pathways
1_7-Dimethylxanthine,POS,HMDB01860,C13747,C7H8N4O2,611-59-6,Caffeine metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of secondary metabolites; Microbial metabolism
Tyrosine,POS,HMDB00158,C00082,C9H11NO3,60-18-4,"Ubiquinone, other terpenoid-quinone biosynthesis; Monobactam biosynthesis; Tyrosine metabolism"
Epinephrine,POS,HMDB00068,C00788,C9H13NO3,51-43-4,Tyrosine metabolism; Two-component system; Quorum sensing
Se-Methylselenocysteine,POS,HMDB04113,C05689,C4H9NO2Se,26046-90-2,Selenocompound metabolism
Phosphorylcholine,POS,HMDB01565,C00588,C5H15NO4P,3616-04-4,Glycerophospholipid metabolism; Choline metabolism in cancer
N6-Acetyl-Lysine,POS,HMDB00206,C02727,C8H16N2O3,692-04-6,Lysine degradation
Homoarginine,POS,HMDB00670,C01924,C7H16N4O2,156-86-5,NA
N6-Trimethyllysine,POS,HMDB01325,C03793,C9H20N2O2,19253-88-4,Lysine degradation
Homocitrulline,POS,HMDB00679,C02427,C7H15N3O3,1190-49-4,NA
Caffeine,POS,HMDB01847,C07481,C8H10N4O2,58-08-2,"Caffeine metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from histidine, purine"
Salicylurate,POS,HMDB00840,C07588,C9H9NO4,487-54-7,Salicylate elimination
DL DOPA,POS,HMDB00609,C00355,C9H11NO4,63-84-3,Tyrosine metabolism; Isoquinoline alkaloid biosynthesis; Betalain biosynthesis
Selenomethionine,POS,HMDB03966,C05335,C5H11NO2Se,3211-76-5,Selenocompound metabolism
Dimethylarginine (A/SDMA),POS,HMDB01539/HMDB03334,C03626,C8H18N4O2,ADMA 30315-93-6 SDMA 30344-00-4,NA
Spermine,POS,HMDB01256,C00750,C10H26N4,71-44-3,"Arginine, proline metabolism; beta-Alanine metabolism; Glutathione metabolism; Bile secretion"
3-Indolebutyric Acid,POS,HMDB02096,C11284,C12H13NO2,133-32-4,NA
Acetylcarnitine,POS,HMDB00201 ,C02571,C9H18NO4,3040-38-8,Insulin resistance
Tryptophan,POS,HMDB00929,C00078,C11H12N2O2,73-22-3,"Glycine, serine, threonine metabolism; Tryptophan metabolism; Phenylalanine, tyrosine, tryptophan biosynthesis"
L-Kynurenine,POS,HMDB00684,C00328,C10H12N2O3,2922-83-0,Tryptophan metabolism; African trypanosomiasis
Phosphocreatine,POS,HMDB01511,C02305,C4H10N3O5P,67-07-2,"Arginine, proline metabolism"
N-Ac-Arginine,POS,HMDB04620,N/A,C8H16N4O3,155-84-0,NA
Carnosine,POS,HMDB00033,C00386,C9H14N4O3,305-84-0,Histidine metabolism; beta-Alanine metabolism
2'-Deoxycytidine,POS,HMDB00014,C00881,C9H13N3O4,951-77-9,Pyrimidine metabolism; ABC Transporters
2'-Deoxyuridine,POS,HMDB0000012,C00526,C9H12N2O5,951-78-0,Pyrimidine metabolism; ABC Transporters
Biopterin,POS,HMDB00468,C06313,C9H11N5O3,22150-76-1,NA
Anserine,POS,HMDB00194,C01262,C10H16N4O3,584-85-0,Histidine metabolism; beta-Alanine metabolism
Cystine,POS,HMDB00192,C00491,C6H12N2O4S2,56-89-3,"Cysteine, methionine metabolism; ABC Transporters; Ferroptosis; Protein digestion, absorption"
Cytidine,POS,HMDB00089,C00475,C9H13N3O5,65-46-3,Pyrimidine metabolism; ABC Transporters
Uridine,POS,HMDB00296,C00299,C9H12N2O6,58-96-8,Pyrimidine metabolism; ABC Transporters
isoValerylcarnitine,POS,HMDB00688,C20826,C12H23NO4,31023-24-2,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation
Neopterin,POS,HMDB00845,C05926,C9H11N5O4,2009-64-5,Folate biosynthesis
Glycerophosphocholine,POS,HMDB00086,C00670,C8H21NO6P,28319-77-9,Glycerophospholipid metabolism; Ether lipid metabolism; Choline metabolism in cancer
5-Methylcytidine,POS,HMDB00982,N/A,C10H15N3O5,2140-61-6,NA
Phosphotyrosine,POS,HMDB06049,C06501,C9H12NO6P,N/A,NA
Succinylcarnitine,POS,HMDB61717,N/A,C11H19NO6,256928-74-2,Lipid metabolism; Lipid transport; Fatty acid metabolism; Lipid peroxidation
Thiamine,POS,HMDB00235,C00378,C12H17N4OS,70-16-6,"Thiamine metabolism; ABC Transporters; Sulfur relay system; Vitamin digestion, absorption"
2_3-Diphosphoglyceric Acid,POS,HMDB01294,C01159,C3H8O10P2,138-81-8,"Glycolysis, Gluconeogenesis"
Deoxyguanosine,POS,HMDB00085,C00330,C10H13N5O4,961-07-9,Purine metabolism; ABC Transporters
Adenosine,POS,HMDB00050,C00212,C10H13N5O4,58-61-7,Purine metabolism; ABC Transporters; cGMP-PKG signaling pathway
Inosine,POS,HMDB00195,C00294,C10H12N4O5,58-63-9,Purine metabolism; ABC Transporters
Glutarylcarnitine,POS,HMDB13130,N/A,C12H21NO6,102636-82-8,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation
1-Methyladenosine,POS,HMDB03331,C02494,C11H15N5O4,15763-06-1,NA
6-Methyladenosine,POS,HMDB04044,N/A,C11H15N5O4,1867-73-8,NA
Guanosine,POS,HMDB00133,C00387,C10H13N5O5,118-00-3,Purine metabolism; ABC Transporters
Retinal,POS,HMDB01358,C00376,C20H28O,116-31-4,"Retinol metabolism; Phototransduction; Vitamin digestion, absorption"
Retinol,POS,HMDB00305,C19962,C20H30O,68-26-8,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation
Argininosuccinate,POS,HMDB00052,C03406,C10H18N4O6,2387-71-5,"Arginine biosynthesis; Alanine, aspartate, glutamate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of amino acids"
5'-Methylthioadenosine,POS,HMDB01173,C00170,C11H15N5O3S,2457-80-9,"Cysteine, methionine metabolism; Zeatin biosynthesis; Biosynthesis of plant secondary metabolites"
N2_N2-Dimethylguanosine,POS,HMDB04824,N/A,C12H17N5O5,2140-67-2,NA
UMP,POS,HMDB0000288,C00105,C9H13N2O9P,58-97-9,Pyrimidine metabolism
cAMP,POS,HMDB00058,C00575,C10H12N5O6P,60-92-4,"Purine metabolism; Endocrine resistance; Biofilm formation - Pseudomonas aeruginosa, Escherichia coli"
GMP,POS,HMDB01397,C00144,C10H14N5O8P,85-32-5,"Purine metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from histidine, purine"
Riboflavin,POS,HMDB00244,C00255,C17H20N4O6,83-88-5,"Riboflavin metabolism; Biosynthesis of secondary metabolites; ABC Transporters; Vitamin digestion, absorption"
SAH,POS,HMDB0000939,C00021,C14H20N6O5S,979-92-0,"Cysteine, methionine metabolism; Biosynthesis of amino acids"
Cholecalciferol,POS,HMDB00876,C05443,C27H44O,67-97-0,"Steroid biosynthesis; Biosynthesis of secondary metabolites; Vitamin digestion, Absorption; Rheumatoid arthritis"
Ergocalciferol,POS,HMDB00900,C05441,C28H44O,50-14-6,Steroid biosynthesis; Biosynthesis of secondary metabolites
S-Adenosylmethionine (SAM),POS,HMDB01185,C00019,C15H22N6O5S,485-80-3,"Monobactam biosynthesis; Cysteine, methionine metabolism; Arginine, proline metabolism; Zeatin biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of plant hormones"
CDP,POS,HMDB01546,C00112,C9H15N3O11P2,63-38-7,Pyrimidine metabolism
Thiamine pyrophosphate,POS,HMDB0001372,C00068,C12H19N4O7P2S,154-87-0,"Glycolysis, Gluconeogenesis; TCA Cyle; Branched chain amino acid degradation"
Folic Acid,POS,HMDB00121,C00504,C19H19N7O6,59-30-3,One carbon pool by folate; Folate biosynthesis; Biosynthgesis of phenylpropanoids
Vitamin K1,POS,HMDB03555,C02059,C31H46O2,84-80-0,"Ubiquinone, other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites; Vitamin digestion, absorption"
Biliverdin,POS,HMDB01008,C00500,C33H34N4O6,114-25-0,"Porphyrin, chlorophyll metabolism; Biosynthesis of secondary metabolites"
NAD,POS,HMDB00902,C00003,C21H28N7O14P2,53-84-9,"Oxidative phosphorylation; Thiamine metabolism; Nicotinate, nicotinamide metabolism; Drug metabolism - other enzymes"
Methylcobalamin,POS,HMDB02274,C06453,C63H91CoN13O14P,13422-55-4,NA
Cyanocobalamin (Vitamin B12),POS,HMDB00607,C02823,C62H88CoN13O14PR,68-19-9,"Porphyrin, chlorophyll metabolism"
NADPH,POS,HMDB00221,C00005,C21H30N7O17P3,53-57-6,"Photosynthesis; Glutathione metabolism; Thyroid hormone synthesis; Aldosterone synthesis, secretion"
Thyroxine,POS,HMDB00248,C01829,C15H11I4NO4,51-48-9,Tyrosine metabolism; Neuroactive ligand-receptor interaction; Thyroid hormone synthesis; Thyroid hormone signaling pathway
FAD,POS,HMDB01248,C00016,C27H33N9O15P2,146-14-5,"Riboflavin metabolism; Biosynthesis of secondary metabolites; Vitamin digestion, absorption"
Adenosylcobalamin,POS,HMDB02086,C00194,C72H100CoN18O17P,13870-90-1,"Porphyrin, chlorophyll metabolism"
Ubiquinol,POS,HMDB13111,C11378,C59H90O4,5677-55-4,Ferroptosis
Malondialdehyde,NEG,HMDB06112,C19440,C3H4O2,542-78-9,NA
Glycolic acid,NEG,HMDB00115,C00160,C2H4O3,79-14-1,Photorespiration
Pyruvate,NEG,HMDB00243,C00022,C3H4O3,127-17-3,"Glycolysis, gluconeogenesis; TCA Cyle; Branched chain amino acid biosynthesis"
Lactate,NEG,HMDB00190,C00186,C3H6O3,79-33-4,"Glycolysis, gluconeogenesis; Fructose, mannose metabolism; Pyruvate metabolism; Propanoate metabolism"
Glyceraldehyde,NEG,HMDB01051,C00577,C3H6O3,56-82-6,"Pentose phosphate pathway; Fructose, mannose metabolism; Galactose metabolism; Glycerolipid metabolism"
3-Hydroxypropionic Acid,NEG,HMDB00700,C01013,C3H6O3,503-66-2,Pyrimidine metabolism; beta-Alanine metabolism; Propanoate metabolism; Carbon fixation pathways in prokaryotes
isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid,NEG,HMDB00718/HMDB0001259,C08262/C00232/C00164,C5H10O2/C4H6O3/C4H6O3,503-74-2/692-29-5/541-50-4,"Biosynthesis of alkaloids derived from histidine, purine; Biosynthesis of secondary metabolites; Protein digestion, absorption"
2-Oxobutyrate,NEG,HMDB00005,C00109,C4H6O3,600-18-0,"Glycine, serine, threonine metabolism; Cysteine, methionine metabolism; Branched chain amino acid biosynthesis; Propanoate metabolism"
gamma-Aminobutyrate,NEG,HMDB0000112,C00334,C4H9NO2,56-12-2,"Alanine, aspartate, glutamate metabolism; Arginine, proline metabolism; beta-Alanine metabolism; Butanoate metabolism"
Malonic Acid,NEG,HMDB00691,C00383,C3H4O4,141-82-2,Fatty acid biosynthesis; Pyrimidine metabolism; beta-Alanine metabolism; Fatty acid metabolism
3HBA,NEG,HMDB0000357,C01089,C4H8O3,300-85-6,"Synthesis, degradation of ketone bodies; Butanoate metabolism; cAMP signaling pathway"
2-Hydroxyisobutyrate/2-Hydroxybutyrate,NEG,HMDB00729,N/A,C4H8O3,594-61-4,NA
Glycerate,NEG,HMDB00139,C00258,C3H6O4,473-81-4,"Pentose phosphate pathway; Glycine, serine, threonine metabolism; Glycerolipid metabolism; Glyoxylate, dicarboxylate metabolism"
Uracil,NEG,HMDB00300,C00106,C4H4N2O2,66-22-8,"Pyrimidine metabolsim; beta-Alanine metabolism; Pantothenate, CoA biosynthesis"
Fumaric Acid,NEG,HMDB00134,C00122,C4H4O4,110-17-8,"TCA cycle; Oxidative phosphorylation; Arginine biosynthesis; Alanine, aspartate, glutamate metabolism"
Maleic Acid,NEG,HMDB00176,C01384,C4H4O4,110-16-7,"Tyrosine metabolism; Butanoate metabolism; Nicotinate, nicotinamide metabolism; Microbial metabolism"
N-AcetylGlycine,NEG,HMDB00532,N/A,C4H7NO3,543-24-8,NA
Guanidinoacetate,NEG,HMDB00128,C00581,C3H7N3O2,352-97-6,"Glycine, serine, threonine metabolism; Arginine, proline metabolism "
2-Hydroxyisovaleric Acid,NEG,HMDB00407,N/A,C5H10O3,4026-18-0,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation
Succinate,NEG,HMDB00254,C00042,C4H6O4,110-15-6,"TCA cycle; Oxidative phosphorylation; Arginine biosynthesis; Alanine, aspartate, glutamate metabolism"
Methylmalonate,NEG,HMDB00202,C02170,C4H6O4,516-05-2,Pyrimidine metabolism; Branched chain amino acid degradation; Propanoate metabolism
3-Hydroxyisovaleric Acid,NEG,HMDB00754,C20827,C5H10O3,625-08-1,Branched chain amino acid degradation
Erythrose,NEG,HMDB02649,C01796,C4H8O4,1758-51-6,NA
Threitol,NEG,HMDB04136,C16884,C4H10O4,2418-52-2,NA
Nicotinic Acid,NEG,HMDB01488,C00253,C6H5NO2,59-67-6,"Nicotinate, nicotinamide metabolism; Tropane, piperidine, pyridine alkaoid biosynthesis"
Picolinic Acid,NEG,HMDB0002243,C10164,C6H5NO2,98-98-6,Tryptophan metabolism
Thymine,NEG,HMDB00262,C00178,C5H6N2O2,65-71-4,Pyrimidine metabolism
Citraconic Acid,NEG,HMDB00634,C02226,C5H6O4,498-23-7,Branched chain amino acid biosynthesis; C5-Branched dibasic acid metabolism; 2-Oxocarboxylic acid metabolism
2-oxo-Isocaproic Acid,NEG,HMDB00695,C00233,C6H10O3,816-66-0,"Branched chain amino acid Degradation, Biosynthesis; Glucosinolate biosynthesis"
Itaconic Acid,NEG,HMDB02092,C00490,C5H6O4,97-65-4,C5-Branched dibasic acid metabolism
N-Ac-Alanine,NEG,HMDB00766,N/A,C5H9NO3,97-69-8,Prostate cancer
MethylSuccinate,NEG,HMDB01844,N/A,C5H8O4,498-21-5,Lipid metabolism; Lipid transport; Fatty acid metabolism; Ethylmalonic encephalopathy; Lipid peroxidation
D-Leucic Acid,NEG,HMDB00624,C03264,C6H12O3,20312-37-2,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation
Glutaric Acid,NEG,HMDB00661,C00489,C5H8O4,110-94-1,Fatty acid degradation; Lysine degradation; Microbial metabolism
Oxalacetate,NEG,HMDB00223,C00036,C4H4O5,328-42-7,"Glycolysis, gluconeogenesis; TCA Cycle; Alanine, aspartate, glutamate metabolism"
Ethylmalonic acid,NEG,HMDB00622,N/A,C5H8O4,601-75-2,Lipid metabolism; Lipid transport; Fatty acid metabolism; Ethylmalonic encephalopathy; Lipid peroxidation
N-Carbamoyl-B-Alanine,NEG,HMDB00026,C02642,C4H8N2O3,462-88-4,"Pyrimidine metabolism; beta-Alanine metabolism; Pantothenate, CoA biosynthesis"
Malate,NEG,HMDB00156,C00149,C4H6O5,97-67-6,"TCA cycle; Pyruvate metabolsim; Glyoxylate, dicarboxylate metabolism; Methane metabolism"
Adenine,NEG,HMDB00034,C00147,C5H5N5,73-24-5,Purine metabolism; Zeatin biosynthesis
Allopurinol,NEG,HMDB14581,D00224,C5H4N4O,315-30-0,Purine metabolism; Peroxisome
Hypoxanthine,NEG,HMDB00157,C00262,C5H4N4O,68-94-0,Purine metabolism
Phenylacetic Acid,NEG,HMDB00209,C07086,C8H8O2,103-82-2,Phenylalanine metabolism; Styrene degradation; Microbial metabolism
Erythronic/Threonic Acid,NEG,HMDB00613/HMDB000943,NA/C01620,C4H8O5,13752-84-6,"Ascorbate, aldarate metabolism"
Anthranilic Acid,NEG,HMDB01123,C00108,C7H7NO2,118-92-3,"Tryptophan metabolsim; Phenylalanine, tyrosine, tryptophan biosynthesis; Phenazine biosynthesis"
4-Hydroxybenzoic Acid,NEG,HMDB00500,C00156,C7H6O3,99-96-7,"Ubiquinone, other terpenoid-quinone biosynthesis; Benzoate degradation; Bisphenol degration; Toluene degradation; Aminobenzoate degradation"
Acetylphosphate,NEG,HMDB01494,C00227,C2H5O5P,590-54-5,"Taurine, hypotaurine metabolism; Pyruvate metabolism; Methane metabolism"
o-Phosphoethanolamine,NEG,HMDB0000224,C00346,C2H8NO4P,1071-23-4,Glycerophospholipid metabolsim; Sphingolipid metabolsim; Cationic antimicrobial peptide (CAMP) resistance; Sphingolipid signaling pathway
