"dog_id","dog_id_cohort","cohort","elab_id","run_order","prep_batch","run","DOC","DOB","age","weight_at_DOC","lifestage_at_DOC","size_at_DOC","sex","sterilization_status","pure_or_mixed","breed_1","breed_2","graded_hemolysis","elapse_DOC_LOG","serum_temp","hours_fasting","Division","state","st_zip","complete_survey_pull","diet_survey","comprehensive_diet_complete","DRdiet_survey","BCS","SampleID","SampleName","elab_idX"
766,"766_precision_1_arm_1","Precision 1",16908242,110,10,3,"2022-04-12","2016-05-31",5.85645933014354,13.15417873,"Mature","Medium",1,1,1,266,NA,2,67.0002777777778,22.8,20,"Division 9: Pacific","CA",93013,"FUP1","FUP1 diet",NA,"FUP1",6,"X110","766_","X16908242"
981,"981_precision_1_arm_1","Precision 1",16364731,17,8,3,"2022-03-03","2012-11-14",9.28503075871497,24.49398798,"Mature","Standard",1,1,2,120,195,1,26.2363888888889,17.1,16,"Division 3: East North Central","OH",45246,"FUP1","FUP1 diet","FUP2","FUP1",6,"X17","981_","X16364731"
991,"991_precision_1_arm_1","Precision 1",15021185,3,4,2,"2021-10-28","2014-11-01",6.98017771701982,21.31884139,"Mature","Medium",1,1,1,186,NA,0,100.3675,23.6,12,"Division 6: East South Central","TN",37064,"HLES","HLES diet","FUP2","HLES",NA,"X3","991_","X15021185"
1148,"1148_precision_1_arm_1","Precision 1",14471452,65,3,1,"2021-09-07","2009-05-01",12.3362952836637,4.5359237,"Mature","Toy",0,1,2,87,141,0,45.5694444444444,25.9,12,"Division 9: Pacific","WA",98177,"HLES","HLES diet","FUP2","HLES",5,"X65","1148_","X14471452"
1443,"1443_precision_1_arm_1","Precision 1",13727032,19,1,1,"2021-07-19","2017-06-28",4.05194805194805,15.87573295,"Mature","Standard",0,1,1,18,NA,3,41.4816666666667,23.6,16,"Division 9: Pacific","CA",92203,"HLES","HLES diet","FUP2","HLES",5,"X19","1443_","X13727032"
1530,"1530_precision_1_arm_1","Precision 1",13699255,14,1,1,"2021-07-16","2018-11-15",2.66290726817043,34.47302012,"Young","Large",0,1,1,212,NA,0,75.1594444444444,27.6,13,"Division 3: East North Central","MI",48133,"HLES","HLES diet",NA,"HLES",5,"X14","1530_","X13699255"
1547,"1547_precision_1_arm_1","Precision 1",15960880,88,6,2,"2022-01-26","2016-04-09",5.79095465937571,28.57631931,"Mature","Standard",1,1,1,68,NA,0,31.5891666666667,13.1,14,"Division 2: Middle Atlantic","NY",14850,"HLES","HLES diet","FUP2","HLES",NA,"X88","1547_","X15960880"
1646,"1646_precision_1_arm_1","Precision 1",15984064,85,6,2,"2022-01-27","2016-10-10",5.29061289587605,28.12272694,"Mature","Standard",1,0,1,33,NA,0,23.2786111111111,9.7,14,"Division 9: Pacific","CA",95658,"FUP1","FUP1 diet","FUP2","FUP1",5,"X85","1646_","X15984064"
1777,"1777_precision_1_arm_1","Precision 1",14470720,75,3,1,"2021-09-06","2008-07-01",13.1647300068353,31.479310478,"Senior","Large",1,1,1,153,NA,2,67.0041666666667,19.6,0,"Division 9: Pacific","CA",91316,"HLES","HLES diet",NA,"HLES",NA,"X75","1777_","X14470720"
1803,"1803_precision_1_arm_1","Precision 1",15338467,27,4,2,"2021-11-29","2012-06-13",9.44919115971748,11.79340162,"Mature","Toy",0,1,1,70,NA,0,26.7361111111111,13.8,12,"Division 8: Mountain","AZ",85254,"FUP1","FUP1 diet",NA,"FUP1",NA,"X27","1803_","X15338467"
1824,"1824_precision_1_arm_1","Precision 1",13899862,10,1,1,"2021-07-29","2014-06-20",7.09774436090226,63.5029318,"Mature","Giant",1,1,1,123,NA,0,21.4177777777778,19.6,16,"Division 9: Pacific","CA",95747,"HLES","HLES diet","FUP2","HLES",5,"X10","1824_","X13899862"
1914,"1914_precision_1_arm_1","Precision 1",14519527,73,3,1,"2021-09-13","2014-11-17",6.81328320802005,6.35029318,"Mature","Toy",1,1,1,228,NA,3,28.6711111111111,23.9,13,"Division 1: New England","NH",3110,"FUP1","HLES diet","FUP2","HLES",NA,"X73","1914_","X14519527"
1986,"1986_precision_1_arm_1","Precision 1",13766929,20,1,1,"2021-07-21","2019-01-29",2.47151970836181,23.58680324,"Young","Standard",1,1,1,25,NA,0,24.9941666666667,20.4,12,"Division 9: Pacific","OR",97119,"HLES","HLES diet","FUP2","HLES",5,"X20","1986_","X13766929"
2198,"2198_precision_1_arm_1","Precision 1",14492476,76,3,1,"2021-09-09","2016-12-05",4.75449988607883,29.48350405,"Mature","Standard",1,1,2,273,16,2,25.0897222222222,21.3,13,"Division 9: Pacific","CA",95616,"FUP1","FUP1 diet","FUP3","FUP1",4.5,"X76","2198_","X14492476"
2386,"2386_precision_1_arm_1","Precision 1",15237904,16,4,2,"2021-11-16","2012-08-13",9.2468671679198,11.067653828,"Mature","Medium",0,1,2,47,27,0,26.2763888888889,19,15,"Division 1: New England","MA",1462,"FUP1","FUP1 diet","FUP2","FUP1",6,"X16","2386_","X15237904"
2560,"2560_precision_1_arm_1","Precision 1",16669333,160,7,2,"2022-03-24","2012-07-16",9.67327409432673,55.79186151,"Mature","Giant",0,1,1,173,NA,0,24.9930555555556,9.3,16,"Division 9: Pacific","CA",93643,"HLES","HLES diet","FUP2","HLES",NA,"X160","2560_","X16669333"
2591,"2591_precision_1_arm_1","Precision 1",14569879,80,3,1,"2021-09-16","2012-07-20",9.14559125085441,31.7514659,"Mature","Large",1,1,2,34,114,0,21.8833333333333,24.4,17,"Division 6: East South Central","TN",37405,"FUP1","FUP1 diet","FUP2","FUP1",6,"X80","2591_","X14569879"
2775,"2775_precision_1_arm_1","Precision 1",16787629,69,9,3,"2022-04-04","2015-03-19",7.03485987696514,31.7514659,"Mature","Large",0,1,1,280,NA,1,27.4627777777778,19.6,16,"Division 2: Middle Atlantic","NY",10509,"FUP1","FUP1 diet","FUP2","FUP1",NA,"X69","2775_","X16787629"
2895,"2895_precision_1_arm_1","Precision 1",13784152,22,1,1,"2021-07-22","2016-09-15",4.84210526315789,47.62719885,"Mature","Giant",1,1,1,4,NA,0,27.2316666666667,23.1,14,"Division 5: South Atlantic","FL",34219,"HLES","HLES diet","FUP2","HLES",6,"X22","2895_","X13784152"
3035,"3035_precision_1_arm_1","Precision 1",16502527,132,7,2,"2022-03-14","2016-05-15",5.82091592617908,6.80388555,"Mature","Toy",1,1,2,87,267,1,72.8683333333333,15,12,"Division 9: Pacific","WA",98374,"FUP1","FUP1 diet","FUP2","FUP1",6,"X132","3035_","X16502527"
3091,"3091_precision_1_arm_1","Precision 1",17625848,192,12,3,"2022-06-01","2018-05-01",4.07928913192071,32.65865064,"Mature","Large",0,0,1,92,NA,0,46.7994444444444,17.1,18,"Division 5: South Atlantic","FL",34234,"HLES","HLES diet","FUP1","HLES",4.5,"X192","3091_","X17625848"
3315,"3315_precision_1_arm_1","Precision 1",16035136,104,6,2,"2022-02-02","2013-03-05",8.90225563909775,4.08233133,"Mature","Toy",0,1,2,87,183,1,52.0363888888889,11,16,"Division 9: Pacific","WA",98125,"FUP1","FUP1 diet","FUP2","FUP1",5,"X104","3315_","X16035136"
3412,"3412_precision_1_arm_1","Precision 1",16097851,138,7,2,"2022-02-08","2013-02-04",8.99794941900205,19.05087954,"Mature","Standard",0,1,1,115,NA,2,22.6102777777778,13.8,15,"Division 9: Pacific","WA",98117,"FUP1","HLES diet","FUP3","HLES",4.5,"X138","3412_","X16097851"
3468,"3468_precision_1_arm_1","Precision 1",15429916,19,4,2,"2021-12-06","2014-08-02",7.33572567783094,10.43262451,"Mature","Medium",1,1,1,110,NA,3,25.6980555555556,13.6,16,"Division 8: Mountain","CO",81301,"FUP1","FUP1 diet","FUP2","FUP1",NA,"X19","3468_","X15429916"
3502,"3502_precision_1_arm_1","Precision 1",16117714,128,7,2,"2022-02-09","2013-08-10",8.48951925267715,20.86524902,"Mature","Standard",0,1,2,46,16,1,48.5061111111111,18.4,14,"Division 8: Mountain","AZ",85379,"FUP1","FUP1 diet","FUP2","FUP1",5,"X128","3502_","X16117714"
3586,"3586_precision_1_arm_1","Precision 1",15962587,111,6,2,"2022-01-26","2018-10-28",3.2427660059239,33.11224301,"Mature","Large",1,1,1,153,NA,0,14.2836111111111,9.9,13,"Division 9: Pacific","CA",91362,"FUP1","HLES diet","FUP2","HLES",6,"X111","3586_","X15962587"
3595,"3595_precision_1_arm_1","Precision 1",15934189,58,5,2,"2022-01-24","2016-08-22",5.41638186375028,29.48350405,"Mature","Standard",1,1,1,109,NA,0,23.3930555555556,9.2,16,"Division 9: Pacific","WA",98105,"FUP1","HLES diet",NA,"HLES",6,"X58","3595_","X15934189"
3653,"3653_precision_1_arm_1","Precision 1",14067916,30,2,1,"2021-08-09","2017-11-01",3.76486671223513,44.45205226,"Mature","Giant",0,1,1,139,NA,2,26.4138888888889,23.3,4,"Division 5: South Atlantic","VA",22578,"HLES","HLES diet",NA,"HLES",NA,"X30","3653_","X14067916"
4284,"4284_precision_1_arm_1","Precision 1",14530777,64,3,1,"2021-09-13","2017-06-01",4.27887901572112,30.84428116,"Mature","Large",1,1,1,115,NA,0,30.4525,22.4,12,"Division 6: East South Central","AL",36875,"FUP1","FUP1 diet",NA,"FUP1",5,"X64","4284_","X14530777"
4290,"4290_precision_1_arm_1","Precision 1",14992082,8,4,2,"2021-10-26","2011-07-17",10.2638414217362,10.88621688,"Mature","Medium",1,1,2,27,204,0,22.6188888888889,15.8,22,"Division 4: West North Central","MN",55391,"HLES","HLES diet",NA,"HLES",5,"X8","4290_","X14992082"
4352,"4352_precision_1_arm_1","Precision 1",13822537,12,1,1,"2021-07-26","2008-10-26",12.73000683527,25.40117272,"Senior","Standard",1,1,2,114,16,2,49.705,25.8,21,"Division 3: East North Central","IN",46077,"HLES","HLES diet","FUP2","HLES",4,"X12","4352_","X13822537"
4416,"4416_precision_1_arm_1","Precision 1",15245752,6,4,2,"2021-11-17","2014-08-05",7.27557530189109,35.38020486,"Mature","Large",1,1,1,120,NA,0,27.3866666666667,15.3,17,"Division 3: East North Central","IN",46140,"FUP1","FUP1 diet","FUP2","FUP1",5,"X6","4416_","X15245752"
4425,"4425_precision_1_arm_1","Precision 1",16179736,15,8,3,"2022-02-15","2010-09-15",11.4040783777626,4.98951607,"Mature","Toy",1,1,1,228,NA,0,48.0411111111111,15.9,12,"Division 3: East North Central","OH",43017,"FUP1","FUP1 diet","FUP2","FUP1",NA,"X15","4425_","X16179736"
4859,"4859_precision_1_arm_1","Precision 1",15962680,113,6,2,"2022-01-26","2019-02-20",2.92822966507177,29.48350405,"Young","Large",1,1,1,120,NA,0,25.0805555555556,14.4,13,"Division 3: East North Central","OH",44512,"FUP1","FUP1 diet",NA,"HLES",5,"X113","4859_","X15962680"
4919,"4919_precision_1_arm_1","Precision 1",14091859,32,2,1,"2021-08-10","2014-08-05",7.00478468899522,27.124823726,"Mature","Large",1,1,1,120,NA,0,27.2436111111111,22.8,15,"Division 5: South Atlantic","SC",29070,"HLES","HLES diet","FUP2","HLES",NA,"X32","4919_","X14091859"
5057,"5057_precision_1_arm_1","Precision 1",16872782,93,10,3,"2022-04-11","2013-11-11",8.40179995443153,2.72155422,"Mature","Toy",0,1,2,194,161,0,23.9936111111111,15.6,13,"Division 9: Pacific","CA",95503,"FUP1","FUP1 diet",NA,"FUP1",NA,"X93","5057_","X16872782"
5486,"5486_precision_1_arm_1","Precision 1",15431452,23,4,2,"2021-12-06","2017-07-27",4.35554796081112,20.41165665,"Mature","Standard",0,1,2,153,81,2,22.3386111111111,15.8,19,"Division 9: Pacific","WA",98052,"FUP1","HLES diet",NA,"HLES",5,"X23","5486_","X15431452"
5670,"5670_precision_1_arm_1","Precision 1",15629422,68,5,2,"2021-12-27","2015-07-08",6.46354522670312,15.87573295,"Mature","Medium",1,1,2,81,18,3,29.0858333333333,22.8,12,"Division 3: East North Central","OH",43068,"FUP1","FUP1 diet",NA,"FUP1",5,"X68","5670_","X15629422"
6214,"6214_precision_1_arm_1","Precision 1",15529771,79,5,2,"2021-12-14","2015-08-07",6.34597858282069,29.347426339,"Mature","Large",0,1,2,92,999,3,28.8858333333333,25.9,17,"Division 7: West South Central","TX",77586,"FUP1","FUP1 diet","FUP2","FUP1",NA,"X79","6214_","X15529771"
6230,"6230_precision_1_arm_1","Precision 1",16906745,113,10,3,"2022-04-13","2016-03-01",6.10788334472545,19.95806428,"Mature","Medium",1,1,2,141,153,2,23.6988888888889,15,16,"Division 7: West South Central","TX",78731,"FUP1","FUP1 diet","FUP2","FUP1",NA,"X113","6230_","X16906745"
6728,"6728_precision_1_arm_1","Precision 1",16457671,99,6,2,"2022-03-10","2017-06-26",4.69731146046936,29.02991168,"Mature","Standard",0,1,2,999,999,0,26.1413888888889,17.9,12,"Division 8: Mountain","AZ",85711,"FUP1","FUP1 diet","FUP2","FUP1",5,"X99","6728_","X16457671"
7107,"7107_precision_1_arm_1","Precision 1",14496079,70,3,1,"2021-09-09","2007-03-01",14.5070631123263,32.20505827,"Senior","Large",0,1,1,153,NA,2,22.3622222222222,20.4,16,"Division 1: New England","CT",6248,"HLES","HLES diet",NA,"HLES",5,"X70","7107_","X14496079"
7113,"7113_precision_1_arm_1","Precision 1",15957043,89,6,2,"2022-01-26","2015-03-28",6.82444748234222,24.04039561,"Mature","Standard",1,1,1,117,NA,0,26.3266666666667,11.8,15,"Division 4: West North Central","MN",55805,"FUP1","FUP1 diet","FUP3","FUP1",5,"X89","7113_","X15957043"
7348,"7348_precision_1_arm_1","Precision 1",15951760,73,5,2,"2022-01-25","2018-07-22",3.50797448165869,9.0718474,"Mature","Toy",0,1,1,195,NA,0,24.8683333333333,13.6,12,"Division 8: Mountain","UT",84660,"FUP1","FUP1 diet","FUP2","FUP1",NA,"X73","7348_","X15951760"
7917,"7917_precision_1_arm_1","Precision 1",14770255,34,4,2,"2021-10-06","2015-05-05",6.41421736158578,23.58680324,"Mature","Standard",0,1,2,92,999,0,20.3163888888889,21.9,12,"Division 9: Pacific","WA",91803,"HLES","HLES diet",NA,"HLES",NA,"X34","7917_","X14770255"
7948,"7948_precision_1_arm_1","Precision 1",15898849,54,5,2,"2022-01-20","2013-10-10",8.26805650489861,28.57631931,"Mature","Standard",0,1,2,153,999,0,93.6575,12.5,15,"Division 8: Mountain","CO",80112,"FUP1","FUP1 diet","FUP2","FUP1",NA,"X54","7948_","X15898849"
8042,"8042_precision_1_arm_1","Precision 1",13770928,4,1,1,"2021-07-21","2016-05-19",5.16473000683527,30.84428116,"Mature","Large",1,1,2,153,124,0,50.2002777777778,25.4,14,"Division 2: Middle Atlantic","NJ",7024,"HLES","HLES diet",NA,"HLES",4,"X4","8042_","X13770928"
8675,"8675_precision_1_arm_1","Precision 1",17231654,179,12,3,"2022-05-09","2015-07-15",6.80792891319207,3.17514659,"Mature","Toy",0,1,2,228,276,0,24.595,22.8,13,"Division 7: West South Central","TX",78957,"HLES","HLES diet","FUP1","HLES",NA,"X179","8675_","X17231654"
8936,"8936_precision_1_arm_1","Precision 1",17476661,282,21,4,"2022-05-23","2011-05-24",10.9829118250171,10.88621688,"Mature","Toy",1,1,1,267,NA,1,24.1077777777778,20.9,15,"Division 9: Pacific","CA",94940,"FUP1","FUP1 diet","FUP2","FUP1",NA,"X282","8936_","X17476661"
8953,"8953_precision_1_arm_1","Precision 1",16268278,58,9,3,"2022-02-23","2015-03-30",6.89553429027113,38.55535145,"Mature","Large",0,1,1,114,NA,0,48.3472222222222,12.4,12,"Division 9: Pacific","WA",98022,"FUP1","FUP1 diet","FUP2","FUP1",5,"X58","8953_","X16268278"
9113,"9113_precision_1_arm_1","Precision 1",16157620,126,7,2,"2022-02-14","2019-01-22",3.05946684894053,29.075270917,"Young","Standard",1,1,1,153,NA,0,27.3469444444444,13.6,15,"Division 8: Mountain","AZ",85745,"FUP1","FUP1 diet","FUP3","FUP1",5,"X126","9113_","X16157620"
9114,"9114_precision_1_arm_1","Precision 1",17744414,228,13,3,"2022-06-08","2018-05-06",4.08475734791524,29.48350405,"Mature","Standard",1,1,2,195,120,0,46.2219444444444,20.6,14,"Division 8: Mountain","AZ",85737,"FUP1","FUP1 diet","FUP2","FUP1",NA,"X228","9114_","X17744414"
9316,"9316_precision_1_arm_1","Precision 1",19366560,276,20,4,"2022-10-17","2011-11-15",10.9062428799271,6.032778521,"Mature","Toy",1,1,1,63,NA,1,24.4247222222222,8.7,13,"Division 4: West North Central","MN",56368,"FUP2","FUP2 comp","FUP2","FUP2",5,"X276","9316_","X19366560"
9329,"9329_precision_1_arm_1","Precision 1",14401987,79,3,1,"2021-08-31","2017-08-20",4.02460697197539,23.13321087,"Mature","Standard",0,1,1,195,NA,1,26.1266666666667,23.4,15,"Division 5: South Atlantic","SC",29412,"HLES","HLES diet","FUP2","HLES",5,"X79","9329_","X14401987"
9456,"9456_precision_1_arm_1","Precision 1",17094878,130,11,3,"2022-04-27","2018-09-23",3.58714969241285,23.360007055,"Young","Standard",1,1,1,195,NA,3,23.8288888888889,19,13,"Division 9: Pacific","OR",97223,"FUP1","FUP1 diet","FUP3","FUP1",NA,"X130","9456_","X17094878"
9588,"9588_precision_1_arm_1","Precision 1",16485700,119,6,2,"2022-03-14","2014-03-01",8.02449305080884,25.85476509,"Mature","Large",0,1,1,153,NA,0,48.0125,17.9,12,"Division 9: Pacific","WA",98208,"FUP1","FUP1 diet","FUP3","FUP1",5,"X119","9588_","X16485700"
9903,"9903_precision_1_arm_1","Precision 1",14906690,22,4,2,"2021-10-19","2015-06-15",6.33766233766234,34.92661249,"Mature","Large",1,1,2,153,12,0,29.155,19.9,14,"Division 3: East North Central","WI",53158,"FUP1","FUP1 diet","FUP2","FUP1",7,"X22","9903_","X14906690"
10312,"10312_precision_1_arm_1","Precision 1",15999169,93,6,2,"2022-01-29","2012-09-14",9.36169970380497,18.1436948,"Mature","Medium",0,1,2,999,999,0,52.8322222222222,18.1,13,"Division 7: West South Central","TX",76120,"FUP1","FUP1 diet","FUP2","FUP1",6,"X93","10312_","X15999169"
10454,"10454_precision_1_arm_1","Precision 1",16195840,39,8,3,"2022-02-16","2019-06-20",2.657666894509,29.02991168,"Young","Standard",0,0,1,242,NA,0,19.5302777777778,19.2,20,"Division 8: Mountain","NV",89519,"FUP1","FUP1 diet","FUP2","FUP1",6,"X39","10454_","X16195840"
10465,"10465_precision_1_arm_1","Precision 1",19037066,228,19,4,"2022-09-14","2016-06-27",6.20642515379357,12.2,"Mature","Medium",1,1,2,186,66,0,21.4002777777778,21.2,14,"Division 9: Pacific","WA",98296,"FUP2","FUP2 diet","FUP3","FUP2",5,"X228","10465_","X19037066"
10650,"10650_precision_1_arm_1","Precision 1",15254170,36,4,2,"2021-11-17","2014-02-28",7.70745044429255,16.011810661,"Mature","Medium",1,1,1,255,NA,1,29.4061111111111,16.8,12,"Division 2: Middle Atlantic","PA",19607,"FUP1","FUP1 diet",NA,"FUP1",5,"X36","10650_","X15254170"
11298,"11298_precision_1_arm_1","Precision 1",16256188,18,8,3,"2022-02-22","2009-10-18",12.3309409888357,24.94758035,"Senior","Standard",1,1,2,18,46,0,28.9627777777778,14.8,20,"Division 9: Pacific","OR",97006,"FUP1","FUP1 diet","FUP2","FUP1",NA,"X18","11298_","X16256188"
11573,"11573_precision_1_arm_1","Precision 1",16179391,152,7,2,"2022-02-15","2013-06-19",8.64809751651857,13.6077711,"Mature","Medium",0,1,2,66,999,3,26.5538888888889,16.7,12,"Division 5: South Atlantic","GA",31024,"FUP1","FUP1 diet","FUP2","FUP1",NA,"X152","11573_","X16179391"
11853,"11853_precision_1_arm_1","Precision 1",16533373,151,7,2,"2022-03-17","2016-02-08",6.09421280473912,18.1436948,"Mature","Medium",0,0,1,46,NA,0,26.6197222222222,16.9,13,"Division 1: New England","MA",1450,"FUP1","FUP1 diet","FUP2","FUP1",5,"X151","11853_","X16533373"
11921,"11921_precision_1_arm_1","Precision 1",13721857,5,1,1,"2021-07-19","2004-06-24",17.0444292549556,20.86524902,"Senior","Standard",0,1,2,46,47,1,22.8994444444444,19.5,14,"Division 9: Pacific","CA",91941,"HLES","HLES diet",NA,"HLES",5,"X5","11921_","X13721857"
12278,"12278_precision_1_arm_1","Precision 1",14808173,28,4,2,"2021-10-11","2018-01-08",3.75108225108225,21.77243376,"Mature","Standard",1,1,2,153,195,0,23.5175,13.6,17,"Division 9: Pacific","CA",92130,"FUP1","FUP1 diet","FUP2","FUP1",NA,"X28","12278_","X14808173"
12398,"12398_precision_1_arm_1","Precision 1",14746072,35,4,2,"2021-10-05","2013-07-06",8.23786739576213,8.935769689,"Mature","Toy",0,1,1,223,NA,0,29.5791666666667,18.4,0,"Division 5: South Atlantic","SC",29607,"HLES","HLES diet",NA,"HLES",NA,"X35","12398_","X14746072"
12544,"12544_precision_1_arm_1","Precision 1",14028130,42,2,1,"2021-08-05","2017-11-14",3.71827295511506,29.48350405,"Mature","Standard",1,1,2,12,51,0,29.8858333333333,21,13,"Division 2: Middle Atlantic","NY",12553,"FUP1","FUP1 diet","FUP3","FUP1",5,"X42","12544_","X14028130"
12661,"12661_precision_1_arm_1","Precision 1",14011996,34,2,1,"2021-08-04","2008-08-23",12.9295967190704,13.15417873,"Senior","Medium",0,1,1,137,NA,0,24.8302777777778,19.3,16,"Division 9: Pacific","WA",98685,"HLES","HLES diet",NA,"HLES",5,"X34","12661_","X14011996"
12740,"12740_precision_1_arm_1","Precision 1",16704349,45,9,3,"2022-03-28","2019-05-01",2.90362269309638,29.48350405,"Young","Standard",0,1,1,67,NA,1,28.9344444444444,16.1,14,"Division 3: East North Central","OH",44904,"FUP1","FUP1 diet",NA,"FUP1",NA,"X45","12740_","X16704349"
13182,"13182_precision_1_arm_1","Precision 1",17029826,129,11,3,"2022-04-25","2014-11-01",7.46958304853042,46.72001411,"Mature","Giant",1,1,2,214,11,0,26.3611111111111,18.6,11,"Division 2: Middle Atlantic","NY",10029,"HLES","HLES diet","FUP2","HLES",5,"X129","13182_","X17029826"
13429,"13429_precision_1_arm_1","Precision 1",18760460,167,18,4,"2022-08-29","2018-05-15",4.28434723171565,30.662844212,"Mature","Large",0,1,1,114,NA,0,24.6180555555556,18.8,17,"Division 2: Middle Atlantic","PA",17701,"FUP1","FUP1 diet","FUP2","FUP1",5,"X167","13429_","X18760460"
13873,"13873_precision_1_arm_1","Precision 1",14413903,58,3,1,"2021-09-01","2006-06-09",15.2098427887902,12.065557042,"Senior","Toy",0,1,1,168,NA,1,23.5894444444444,20.1,18,"Division 4: West North Central","KS",66503,"HLES","HLES diet",NA,"HLES",5.5,"X58","13873_","X14413903"
13877,"13877_precision_1_arm_1","Precision 1",18227957,46,15,4,"2022-07-18","2018-12-06",3.60890863522443,31.7514659,"Young","Large",1,1,2,46,16,0,24.7197222222222,23.1,15,"Division 9: Pacific","OR",97415,"FUP1","FUP1 diet","FUP2","FUP1",7,"X46","13877_","X18227957"
13909,"13909_precision_1_arm_1","Precision 1",14624752,4,4,2,"2021-09-21","2016-06-08",5.27956254272044,55.247550666,"Mature","Large",1,1,1,114,NA,0,72.9808333333333,22.7,12,"Division 3: East North Central","IN",46835,"HLES","HLES diet","FUP2","HLES",7,"X4","13909_","X14624752"
14042,"14042_precision_1_arm_1","Precision 1",17978681,13,14,4,"2022-06-29","2018-04-16",4.19685577580314,24.94758035,"Mature","Standard",1,1,2,111,112,0,24.3580555555556,22.9,15,"Division 6: East South Central","TN",37409,"FUP1","FUP1 diet",NA,"FUP1",NA,"X13","14042_","X17978681"
14760,"14760_precision_1_arm_1","Precision 1",15632398,77,5,2,"2021-12-27","2012-08-18",9.34529505582137,32.20505827,"Mature","Large",1,1,1,177,NA,0,26.7508333333333,16.1,22,"Division 4: West North Central","MO",63010,"FUP1","FUP1 diet","FUP2","FUP1",NA,"X77","14760_","X15632398"
15239,"15239_precision_1_arm_1","Precision 1",16451017,98,6,2,"2022-03-10","2017-08-22",4.5414673046252,39.46253619,"Mature","Large",1,1,1,153,NA,0,26.3919444444444,14.1,12,"Division 3: East North Central","OH",44321,"FUP1","FUP1 diet",NA,"FUP1",9,"X98","15239_","X16451017"
